,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
345,1523635,0.53,False,Centrum-West,52.38,4.887,Private room,2,1,1,8,119.0,3,150,True,4,6,4.7,False,59.5,357,0.06,0.13,0.18,4.99,0.7342465753424657,632.082191780822
347,1533103,0.67,False,Westerpark,52.38,4.87,Entire home/apt,2,1,1,11,250.0,10,20,True,10,0,5.0,False,125.0,2500,0.03,0.2,0.23,4.99,0.18082191780821918,1234.6575342465753
348,1534317,1.0,True,Geuzenveld - Slotermeer,52.38,4.836,Private room,2,1,1,1,82.0,4,30,True,6,4,4.79,False,41.0,328,0.05,0.1,0.16,4.99,0.915068493150685,357.05479452054794
351,1566348,0.27,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,2,1,1,5,103.0,3,30,True,0,0,4.85,False,51.5,309,0.07,0.17,0.18,4.99,0.0,515.0
352,1568669,0.23,False,Watergraafsmeer,52.34,4.92,Entire home/apt,4,2,4,1,105.0,4,14,True,0,0,4.74,False,26.25,420,0.05,0.13,0.17,4.99,0.4547945205479452,557.917808219178
353,1570315,0.78,False,Centrum-West,52.38,4.887,Private room,2,1,2,3,126.0,3,183,True,2,5,4.63,False,63.0,378,0.06,0.17,0.19,4.99,0.5863013698630137,669.3972602739726
354,1580186,0.77,False,Centrum-West,52.38,4.887,Entire home/apt,3,2,2,4,300.0,2,31,True,0,0,4.72,True,100.0,600,0.11,0.18,0.22,4.99,0.0,1500.0
355,1586071,1.0,False,Bos en Lommer,52.38,4.855,Private room,2,1,1,9,45.0,4,30,True,0,0,4.86,True,22.5,180,0.1,0.09,0.14,0.99,0.0,358.6986301369863
356,1601408,0.82,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,17,436.0,4,1000,True,6,2,4.56,False,109.0,1744,0.12,0.1,0.26,10.99,0.6438356164383562,2069.986301369863
357,1603630,1.0,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,2,15,300.0,4,1125,True,0,0,4.94,False,150.0,1200,0.14,0.22,0.25,4.99,0.6328767123287671,1517.123287671233
359,1605387,0.67,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,2,1,1,7,50.0,5,15,True,0,0,4.68,False,25.0,250,0.06,0.13,0.17,2.99,0.0,368.0
360,1620658,0.05,False,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,1,125.0,3,1125,True,0,0,4.81,False,62.5,375,0.06,0.18,0.17,4.99,0.0,507.5342465753425
363,1631878,0.05,False,Zuid,52.38,4.883,Entire home/apt,4,2,3,16,475.0,5,1125,True,0,1,4.09,True,118.75,2375,0.07,0.08,0.2,10.99,0.4246575342465753,2375.0
